orth,phon,syllables
depend,"['D', 'IH0', 'P', 'EH1', 'N', 'D']",2
describe,"['D', 'IH0', 'S', 'K', 'R', 'AY1', 'B']",2
deserved,"['D', 'IH0', 'Z', 'ER1', 'V', 'D']",2
deserves,"['D', 'IH0', 'Z', 'ER1', 'V', 'Z']",2
design,"['D', 'IH0', 'Z', 'AY1', 'N']",2
desire,"['D', 'IH0', 'Z', 'AY1', 'ER0']",3
desist,"['D', 'IH0', 'S', 'IH1', 'S', 'T']",2
desks,"['D', 'EH1', 'S', 'K', 'S']",1
despair,"['D', 'IH0', 'S', 'P', 'EH1', 'R']",2
despite,"['D', 'IH0', 'S', 'P', 'AY1', 'T']",2
destined,"['D', 'EH1', 'S', 'T', 'IH0', 'N', 'D']",2
detail,"['D', 'IH0', 'T', 'EY1', 'L']",2
detest,"['D', 'IH0', 'T', 'EH1', 'S', 'T']",2
develop,"['D', 'IH0', 'V', 'EH1', 'L', 'AH0', 'P']",3
devilish,"['D', 'EH1', 'V', 'L', 'IH0', 'SH']",2
devils,"['D', 'EH1', 'V', 'AH0', 'L', 'Z']",2
devoured,"['D', 'IH0', 'V', 'AW1', 'ER0', 'D']",3
diabetes,"['D', 'AY2', 'AH0', 'B', 'IY1', 'T', 'IY0', 'Z']",4
dial,"['D', 'AY1', 'AH0', 'L']",2
dials,"['D', 'AY1', 'AH0', 'L', 'Z']",2
dick,"['D', 'IH1', 'K']",1
dicky,"['D', 'IH1', 'K', 'IY0']",2
diggers,"['D', 'IH1', 'G', 'ER0', 'Z']",2
diller,"['D', 'IH1', 'L', 'ER0']",2
dilly,"['D', 'IH1', 'L', 'IY0']",2
dim,"['D', 'IH1', 'M']",1
dims,"['D', 'IH1', 'M', 'Z']",1
dine,"['D', 'AY1', 'N']",1
dines,"['D', 'AY1', 'N', 'Z']",1
direct,"['D', 'ER0', 'EH1', 'K', 'T']",2
directed,"['D', 'ER0', 'EH1', 'K', 'T', 'AH0', 'D']",3
directly,"['D', 'ER0', 'EH1', 'K', 'T', 'L', 'IY0']",3
dis,"['D', 'IH1', 'S']",1
discuss,"['D', 'IH0', 'S', 'K', 'AH1', 'S']",2
disgust,"['D', 'IH0', 'S', 'G', 'AH1', 'S', 'T']",2
disks,"['D', 'IH1', 'S', 'K', 'S']",1
display,"['D', 'IH0', 'S', 'P', 'L', 'EY1']",2
distant,"['D', 'IH1', 'S', 'T', 'AH0', 'N', 'T']",2
dither,"['D', 'IH1', 'DH', 'ER0']",2
dived,"['D', 'AY1', 'V', 'D']",1
divers,"['D', 'AY1', 'V', 'ER0', 'Z']",2
divided,"['D', 'IH0', 'V', 'AY1', 'D', 'AH0', 'D']",3
dividing,"['D', 'IH0', 'V', 'AY1', 'D', 'IH0', 'NG']",3
division,"['D', 'IH0', 'V', 'IH1', 'ZH', 'AH0', 'N']",3
divvy,"['D', 'IH1', 'V', 'IY0']",2
dob,"['D', 'AA1', 'B']",1
dodging,"['D', 'AA1', 'JH', 'IH0', 'NG']",2
doggie,"['D', 'AO1', 'G', 'IY0']",2
doggies,"['D', 'AO1', 'G', 'IY0', 'Z']",2
doggy,"['D', 'AO1', 'G', 'IY0']",2
dokey,"['D', 'OW1', 'K', 'IY0']",2
dollars,"['D', 'AA1', 'L', 'ER0', 'Z']",2
dolphin,"['D', 'AA1', 'L', 'F', 'AH0', 'N']",2
dolphins,"['D', 'AA1', 'L', 'F', 'AH0', 'N', 'Z']",2
domestic,"['D', 'AH0', 'M', 'EH1', 'S', 'T', 'IH0', 'K']",3
donner,"['D', 'AA1', 'N', 'ER0']",2
doorman,"['D', 'AO1', 'R', 'M', 'AE2', 'N']",2
doorstep,"['D', 'AO1', 'R', 'S', 'T', 'EH2', 'P']",2
doorways,"['D', 'AO1', 'R', 'W', 'EY2', 'Z']",2
dose,"['D', 'OW1', 'S']",1
dost,"['D', 'AA1', 'S', 'T']",1
dotty,"['D', 'AA1', 'T', 'IY0']",2
dover,"['D', 'OW1', 'V', 'ER0']",2
downpour,"['D', 'AW1', 'N', 'P', 'AO0', 'R']",2
downward,"['D', 'AW1', 'N', 'W', 'ER0', 'D']",2
drag,"['D', 'R', 'AE1', 'G']",1
draggy,"['D', 'R', 'AE1', 'G', 'IY0']",2
drain,"['D', 'R', 'EY1', 'N']",1
drakes,"['D', 'R', 'EY1', 'K', 'S']",1
drama,"['D', 'R', 'AA1', 'M', 'AH0']",2
drawer,"['D', 'R', 'AO1', 'R']",1
drawings,"['D', 'R', 'AO1', 'IH0', 'NG', 'Z']",2
draws,"['D', 'R', 'AO1', 'Z']",1
dread,"['D', 'R', 'EH1', 'D']",1
dreaded,"['D', 'R', 'EH1', 'D', 'IH0', 'D']",2
dreamt,"['D', 'R', 'EH1', 'M', 'T']",1
dreamy,"['D', 'R', 'IY1', 'M', 'IY0']",2
drenched,"['D', 'R', 'EH1', 'N', 'CH', 'T']",1
dries,"['D', 'R', 'AY1', 'Z']",1
drills,"['D', 'R', 'IH1', 'L', 'Z']",1
drinks,"['D', 'R', 'IH1', 'NG', 'K', 'S']",1
dripping,"['D', 'R', 'IH1', 'P', 'IH0', 'NG']",2
driveway,"['D', 'R', 'AY1', 'V', 'W', 'EY2']",2
drool,"['D', 'R', 'UW1', 'L']",1
drying,"['D', 'R', 'AY1', 'IH0', 'NG']",2
dub,"['D', 'AH1', 'B']",1
due,"['D', 'UW1']",1
duet,"['D', 'UW0', 'EH1', 'T']",2
duller,"['D', 'AH1', 'L', 'ER0']",2
dummy,"['D', 'AH1', 'M', 'IY0']",2
dumping,"['D', 'AH1', 'M', 'P', 'IH0', 'NG']",2
dumps,"['D', 'AH1', 'M', 'P', 'S']",1
dunes,"['D', 'UW1', 'N', 'Z']",1
dungeon,"['D', 'AH1', 'N', 'JH', 'AH0', 'N']",2
dunk,"['D', 'AH1', 'NG', 'K']",1
durn,"['D', 'ER1', 'N']",1
durst,"['D', 'ER1', 'S', 'T']",1
dusk,"['D', 'AH1', 'S', 'K']",1
duster,"['D', 'AH1', 'S', 'T', 'ER0']",2
dwarves,"['D', 'W', 'AO1', 'R', 'V', 'Z']",1
dwells,"['D', 'W', 'EH1', 'L', 'Z']",1
dwelt,"['D', 'W', 'EH1', 'L', 'T']",1
dye,"['D', 'AY1']",1
dying,"['D', 'AY1', 'IH0', 'NG']",2
eagerly,"['IY1', 'G', 'ER0', 'L', 'IY0']",3
eagles,"['IY1', 'G', 'AH0', 'L', 'Z']",2
eared,"['IH1', 'R', 'D']",1
earmuffs,"['IH1', 'R', 'M', 'AH2', 'F', 'S']",2
earnest,"['ER1', 'N', 'IH0', 'S', 'T']",2
earrings,"['IH1', 'R', 'IH0', 'NG', 'Z']",2
earthly,"['ER1', 'TH', 'L', 'IY0']",2
easiest,"['IY1', 'Z', 'IY0', 'AH0', 'S', 'T']",3
easing,"['IY1', 'Z', 'IH0', 'NG']",2
eaters,"['IY1', 'T', 'ER0', 'Z']",2
echoing,"['EH1', 'K', 'OW0', 'IH0', 'NG']",3
edges,"['EH1', 'JH', 'AH0', 'Z']",2
edwin,"['EH1', 'D', 'W', 'AH0', 'N']",2
ee,['IY1'],1
eel,"['IY1', 'L']",1
eerily,"['IH1', 'R', 'AH0', 'L', 'IY0']",3
eggshell,"['EH1', 'G', 'SH', 'EH2', 'L']",2
elderly,"['EH1', 'L', 'D', 'ER0', 'L', 'IY0']",3
elevated,"['EH1', 'L', 'AH0', 'V', 'EY2', 'T', 'IH0', 'D']",4
elk,"['EH1', 'L', 'K']",1
ell,"['EH1', 'L']",1
embraced,"['EH0', 'M', 'B', 'R', 'EY1', 'S', 'T']",2
embraces,"['EH0', 'M', 'B', 'R', 'EY1', 'S', 'IH0', 'Z']",3
emerald,"['EH1', 'M', 'R', 'AH0', 'L', 'D']",2
emerge,"['IH0', 'M', 'ER1', 'JH']",2
emptied,"['EH1', 'M', 'P', 'T', 'IY0', 'D']",2
enemies,"['EH1', 'N', 'AH0', 'M', 'IY0', 'Z']",3
enjoying,"['EH0', 'N', 'JH', 'OY1', 'IH0', 'NG']",3
enrolled,"['EH0', 'N', 'R', 'OW1', 'L', 'D']",2
enters,"['EH1', 'N', 'T', 'ER0', 'Z']",2
entirely,"['IH0', 'N', 'T', 'AY1', 'ER0', 'L', 'IY0']",4
entrance,"['EH1', 'N', 'T', 'R', 'AH0', 'N', 'S']",2
envious,"['EH1', 'N', 'V', 'IY0', 'AH0', 'S']",3
enzo,"['EH1', 'N', 'Z', 'OW0']",2
epilogue,"['EH1', 'P', 'AH0', 'L', 'AO2', 'G']",3
equals,"['IY1', 'K', 'W', 'AH0', 'L', 'Z']",2
erased,"['IH0', 'R', 'EY1', 'S', 'T']",2
erasers,"['IH0', 'R', 'EY1', 'S', 'ER0', 'Z']",3
erases,"['IH0', 'R', 'EY1', 'S', 'IH0', 'Z']",3
errands,"['EH1', 'R', 'AH0', 'N', 'D', 'Z']",2
escaping,"['IH0', 'S', 'K', 'EY1', 'P', 'IH0', 'NG']",3
european,"['Y', 'UH2', 'R', 'AH0', 'P', 'IY1', 'AH0', 'N']",4
evenings,"['IY1', 'V', 'N', 'IH0', 'NG', 'Z']",2
evermore,"['EH1', 'V', 'ER0', 'M', 'AO2', 'R']",3
exact,"['IH0', 'G', 'Z', 'AE1', 'K', 'T']",2
examine,"['IH0', 'G', 'Z', 'AE1', 'M', 'IH0', 'N']",3
examined,"['IH0', 'G', 'Z', 'AE1', 'M', 'AH0', 'N', 'D']",3
exchange,"['IH0', 'K', 'S', 'CH', 'EY1', 'N', 'JH']",2
exert,"['IH0', 'G', 'Z', 'ER1', 'T']",2
exhibit,"['IH0', 'G', 'Z', 'IH1', 'B', 'IH0', 'T']",3
exist,"['IH0', 'G', 'Z', 'IH1', 'S', 'T']",2
explains,"['IH0', 'K', 'S', 'P', 'L', 'EY1', 'N', 'Z']",2
explored,"['IH0', 'K', 'S', 'P', 'L', 'AO1', 'R', 'D']",2
exposing,"['IH0', 'K', 'S', 'P', 'OW1', 'Z', 'IH0', 'NG']",3
eyeballs,"['AY1', 'B', 'AO2', 'L', 'Z']",2
eyebrow,"['AY1', 'B', 'R', 'AW2']",2
eyelash,"['AY1', 'L', 'AE2', 'SH']",2
eyelid,"['AY1', 'L', 'IH2', 'D']",2
eyelids,"['AY1', 'L', 'IH2', 'D', 'Z']",2
facts,"['F', 'AE1', 'K', 'T', 'S']",1
faded,"['F', 'EY1', 'D', 'AH0', 'D']",2
fades,"['F', 'EY1', 'D', 'Z']",1
fails,"['F', 'EY1', 'L', 'Z']",1
fainted,"['F', 'EY1', 'N', 'T', 'IH0', 'D']",2
fairfax,"['F', 'EH1', 'R', 'F', 'AE2', 'K', 'S']",2
fairies,"['F', 'EH1', 'R', 'IY0', 'Z']",2
fallin,"['F', 'AE1', 'L', 'IH0', 'N']",2
fame,"['F', 'EY1', 'M']",1
fancies,"['F', 'AE1', 'N', 'S', 'IY0', 'Z']",2
farmland,"['F', 'AA1', 'R', 'M', 'L', 'AE2', 'N', 'D']",2
fate,"['F', 'EY1', 'T']",1
fateful,"['F', 'EY1', 'T', 'F', 'AH0', 'L']",2
fatter,"['F', 'AE1', 'T', 'ER0']",2
favors,"['F', 'EY1', 'V', 'ER0', 'Z']",2
feasts,"['F', 'IY1', 'S', 'T', 'S']",1
fee,"['F', 'IY1']",1
feffer,"['F', 'EH1', 'F', 'ER0']",2
ferns,"['F', 'ER1', 'N', 'Z']",1
ferry,"['F', 'EH1', 'R', 'IY0']",2
festival,"['F', 'EH1', 'S', 'T', 'AH0', 'V', 'AH0', 'L']",3
fever,"['F', 'IY1', 'V', 'ER0']",2
fewer,"['F', 'Y', 'UW1', 'ER0']",2
fi,"['F', 'AY1']",1
fictions,"['F', 'IH1', 'K', 'SH', 'AH0', 'N', 'Z']",2
fiddles,"['F', 'IH1', 'D', 'AH0', 'L', 'Z']",2
fife,"['F', 'AY1', 'F']",1
fifth,"['F', 'IH1', 'F', 'TH']",1
file,"['F', 'AY1', 'L']",1
fills,"['F', 'IH1', 'L', 'Z']",1
filthy,"['F', 'IH1', 'L', 'TH', 'IY0']",2
fin,"['F', 'IH1', 'N']",1
final,"['F', 'AY1', 'N', 'AH0', 'L']",2
finale,"['F', 'AH0', 'N', 'AE1', 'L', 'IY0']",3
finders,"['F', 'AY1', 'N', 'D', 'ER0', 'Z']",2
finisher,"['F', 'IH1', 'N', 'IH0', 'SH', 'ER0']",3
finishes,"['F', 'IH1', 'N', 'IH0', 'SH', 'IH0', 'Z']",3
fink,"['F', 'IH1', 'NG', 'K']",1
firmly,"['F', 'ER1', 'M', 'L', 'IY0']",2
fishbowl,"['F', 'IH1', 'SH', 'B', 'OW2', 'L']",2
fished,"['F', 'IH1', 'SH', 'T']",1
fisher,"['F', 'IH1', 'SH', 'ER0']",2
fist,"['F', 'IH1', 'S', 'T']",1
fists,"['F', 'IH1', 'S', 'T', 'S']",1
fitness,"['F', 'IH1', 'T', 'N', 'AH0', 'S']",2
fitted,"['F', 'IH1', 'T', 'AH0', 'D']",2
flags,"['F', 'L', 'AE1', 'G', 'Z']",1
flake,"['F', 'L', 'EY1', 'K']",1
flakes,"['F', 'L', 'EY1', 'K', 'S']",1
flame,"['F', 'L', 'EY1', 'M']",1
flaming,"['F', 'L', 'EY1', 'M', 'IH0', 'NG']",2
flashes,"['F', 'L', 'AE1', 'SH', 'IH0', 'Z']",2
flatbed,"['F', 'L', 'AE1', 'T', 'B', 'EH2', 'D']",2
flax,"['F', 'L', 'AE1', 'K', 'S']",1
fleck,"['F', 'L', 'EH1', 'K']",1
fleeting,"['F', 'L', 'IY1', 'T', 'IH0', 'NG']",2
flied,"['F', 'L', 'AY1', 'D']",1
fliers,"['F', 'L', 'AY1', 'ER0', 'Z']",2
flights,"['F', 'L', 'AY1', 'T', 'S']",1
florence,"['F', 'L', 'AO1', 'R', 'AH0', 'N', 'S']",2
florida,"['F', 'L', 'AO1', 'R', 'AH0', 'D', 'AH0']",3
flow,"['F', 'L', 'OW1']",1
flowed,"['F', 'L', 'OW1', 'D']",1
flowing,"['F', 'L', 'OW1', 'IH0', 'NG']",2
flurries,"['F', 'L', 'ER1', 'IY0', 'Z']",2
flushed,"['F', 'L', 'AH1', 'SH', 'T']",1
flyer,"['F', 'L', 'AY1', 'ER0']",2
folded,"['F', 'OW1', 'L', 'D', 'AH0', 'D']",2
folds,"['F', 'OW1', 'L', 'D', 'Z']",1
fools,"['F', 'UW1', 'L', 'Z']",1
footman,"['F', 'UH1', 'T', 'M', 'AH0', 'N']",2
forage,"['F', 'AO1', 'R', 'IH0', 'JH']",2
forgave,"['F', 'ER0', 'G', 'EY1', 'V']",2
forks,"['F', 'AO1', 'R', 'K', 'S']",1
forming,"['F', 'AO1', 'R', 'M', 'IH0', 'NG']",2
foul,"['F', 'AW1', 'L']",1
fountain,"['F', 'AW1', 'N', 'T', 'AH0', 'N']",2
fragile,"['F', 'R', 'AE1', 'JH', 'AH0', 'L']",2
framed,"['F', 'R', 'EY1', 'M', 'D']",1
franks,"['F', 'R', 'AE1', 'NG', 'K', 'S']",1
frantic,"['F', 'R', 'AE1', 'N', 'T', 'IH0', 'K']",2
freddy,"['F', 'R', 'EH1', 'D', 'IY0']",2
freezes,"['F', 'R', 'IY1', 'Z', 'IH0', 'Z']",2
freshly,"['F', 'R', 'EH1', 'SH', 'L', 'IY0']",2
fretting,"['F', 'R', 'EH1', 'T', 'IH0', 'NG']",2
fridays,"['F', 'R', 'AY1', 'D', 'IY0', 'Z']",2
fridge,"['F', 'R', 'IH1', 'JH']",1
fries,"['F', 'R', 'AY1', 'Z']",1
frill,"['F', 'R', 'IH1', 'L']",1
fringe,"['F', 'R', 'IH1', 'N', 'JH']",1
fritzie,"['F', 'R', 'IH1', 'T', 'Z', 'IY0']",2
frolic,"['F', 'R', 'AA1', 'L', 'IH0', 'K']",2
fruity,"['F', 'R', 'UW1', 'T', 'IY0']",2
frump,"['F', 'R', 'AH1', 'M', 'P']",1
fryer,"['F', 'R', 'AY1', 'ER0']",2
frying,"['F', 'R', 'AY1', 'IH0', 'NG']",2
funeral,"['F', 'Y', 'UW1', 'N', 'ER0', 'AH0', 'L']",3
funky,"['F', 'AH1', 'NG', 'K', 'IY0']",2
fury,"['F', 'Y', 'UH1', 'R', 'IY0']",2
fussing,"['F', 'AH1', 'S', 'IH0', 'NG']",2
futon,"['F', 'UW1', 'T', 'AA0', 'N']",2
ga,"['G', 'AA1']",1
gagged,"['G', 'AE1', 'G', 'D']",1
gale,"['G', 'EY1', 'L']",1
gall,"['G', 'AO1', 'L']",1
gallant,"['G', 'AE1', 'L', 'AH0', 'N', 'T']",2
galley,"['G', 'AE1', 'L', 'IY0']",2
gallon,"['G', 'AE1', 'L', 'AH0', 'N']",2
galloped,"['G', 'AE1', 'L', 'AH0', 'P', 'T']",2
galore,"['G', 'AH0', 'L', 'AO1', 'R']",2
garages,"['G', 'ER0', 'AA1', 'ZH', 'IH0', 'Z']",3
garment,"['G', 'AA1', 'R', 'M', 'AH0', 'N', 'T']",2
garters,"['G', 'AA1', 'R', 'T', 'ER0', 'Z']",2
gash,"['G', 'AE1', 'SH']",1
gaskets,"['G', 'AE1', 'S', 'K', 'AH0', 'T', 'S']",2
gasp,"['G', 'AE1', 'S', 'P']",1
gateways,"['G', 'EY1', 'T', 'W', 'EY2', 'Z']",2
gatherer,"['G', 'AE1', 'DH', 'ER0', 'ER0']",3
gatlin,"['G', 'AE1', 'T', 'L', 'IH0', 'N']",2
gavel,"['G', 'AE1', 'V', 'AH0', 'L']",2
generous,"['JH', 'EH1', 'N', 'ER0', 'AH0', 'S']",3
genus,"['JH', 'IY1', 'N', 'AH0', 'S']",2
geralds,"['JH', 'EH1', 'R', 'AH0', 'L', 'D', 'Z']",2
ghostly,"['G', 'OW1', 'S', 'T', 'L', 'IY0']",2
ghosts,"['G', 'OW1', 'S', 'T', 'S']",1
giggling,"['G', 'IH1', 'G', 'AH0', 'L', 'IH0', 'NG']",3
giles,"['JH', 'AY1', 'L', 'Z']",1
gills,"['G', 'IH1', 'L', 'Z']",1
ginger,"['JH', 'IH1', 'N', 'JH', 'ER0']",2
giraffes,"['JH', 'ER0', 'AE1', 'F', 'S']",2
givers,"['G', 'IH1', 'V', 'ER0', 'Z']",2
gizzard,"['G', 'IH1', 'Z', 'ER0', 'D']",2
glances,"['G', 'L', 'AE1', 'N', 'S', 'IH0', 'Z']",2
glared,"['G', 'L', 'EH1', 'R', 'D']",1
glaring,"['G', 'L', 'EH1', 'R', 'IH0', 'NG']",2
glazed,"['G', 'L', 'EY1', 'Z', 'D']",1
gleaming,"['G', 'L', 'IY1', 'M', 'IH0', 'NG']",2
glides,"['G', 'L', 'AY1', 'D', 'Z']",1
globe,"['G', 'L', 'OW1', 'B']",1
globs,"['G', 'L', 'AA1', 'B', 'Z']",1
gloomily,"['G', 'L', 'UW1', 'M', 'AH0', 'L', 'IY0']",3
gloppy,"['G', 'L', 'AA1', 'P', 'IY0']",2
glories,"['G', 'L', 'AO1', 'R', 'IY0', 'Z']",2
glory,"['G', 'L', 'AO1', 'R', 'IY0']",2
glossy,"['G', 'L', 'AO1', 'S', 'IY0']",2
gloster,"['G', 'L', 'AA1', 'S', 'T', 'ER0']",2
glowed,"['G', 'L', 'OW1', 'D']",1
gnarls,"['N', 'AA1', 'R', 'L', 'Z']",1
gnat,"['N', 'AE1', 'T']",1
gnawed,"['N', 'AO1', 'D']",1
gnomes,"['N', 'OW1', 'M', 'Z']",1
gnu,"['N', 'UW1']",1
goal,"['G', 'OW1', 'L']",1
goalie,"['G', 'OW1', 'L', 'IY0']",2
gobblers,"['G', 'AA1', 'B', 'AH0', 'L', 'ER0', 'Z']",3
goblin,"['G', 'AA1', 'B', 'L', 'IH0', 'N']",2
gobs,"['G', 'AA1', 'B', 'Z']",1
goin,"['G', 'OY1', 'N']",1
golfers,"['G', 'AA1', 'L', 'F', 'ER0', 'Z']",2
goods,"['G', 'UH1', 'D', 'Z']",1
goody,"['G', 'UH1', 'D', 'IY0']",2
goofy,"['G', 'UW1', 'F', 'IY0']",2
gossip,"['G', 'AA1', 'S', 'AH0', 'P']",2
gourmet,"['G', 'UH1', 'R', 'M', 'EY2']",2
gowns,"['G', 'AW1', 'N', 'Z']",1
graceful,"['G', 'R', 'EY1', 'S', 'F', 'AH0', 'L']",2
graces,"['G', 'R', 'EY1', 'S', 'IH0', 'Z']",2
gradual,"['G', 'R', 'AE1', 'JH', 'UW0', 'AH0', 'L']",3
graduate,"['G', 'R', 'AE1', 'JH', 'AH0', 'W', 'AH0', 'T']",3
graffiti,"['G', 'R', 'AH0', 'F', 'IY1', 'T', 'IY0']",3
grammy,"['G', 'R', 'AE1', 'M', 'IY0']",2
grant,"['G', 'R', 'AE1', 'N', 'T']",1
granted,"['G', 'R', 'AE1', 'N', 'T', 'AH0', 'D']",2
grasp,"['G', 'R', 'AE1', 'S', 'P']",1
grasses,"['G', 'R', 'AE1', 'S', 'AH0', 'Z']",2
greaser,"['G', 'R', 'IY1', 'S', 'ER0']",2
greece,"['G', 'R', 'IY1', 'S']",1
greed,"['G', 'R', 'IY1', 'D']",1
greener,"['G', 'R', 'IY1', 'N', 'ER0']",2
greens,"['G', 'R', 'IY1', 'N', 'Z']",1
greets,"['G', 'R', 'IY1', 'T', 'S']",1
grieves,"['G', 'R', 'IY1', 'V', 'Z']",1
griffith,"['G', 'R', 'IH1', 'F', 'AH0', 'TH']",2
grimace,"['G', 'R', 'IH1', 'M', 'AH0', 'S']",2
grins,"['G', 'R', 'IH1', 'N', 'Z']",1
gripes,"['G', 'R', 'AY1', 'P', 'S']",1
gripped,"['G', 'R', 'IH1', 'P', 'T']",1
gripping,"['G', 'R', 'IH1', 'P', 'IH0', 'NG']",2
grits,"['G', 'R', 'IH1', 'T', 'S']",1
grizzly,"['G', 'R', 'IH1', 'Z', 'L', 'IY0']",2
grocers,"['G', 'R', 'OW1', 'S', 'ER0', 'Z']",2
groomers,"['G', 'R', 'UW1', 'M', 'ER0', 'Z']",2
groups,"['G', 'R', 'UW1', 'P', 'S']",1
growls,"['G', 'R', 'AW1', 'L', 'Z']",1
gruel,"['G', 'R', 'UW1', 'IH0', 'L']",2
grumble,"['G', 'R', 'AH1', 'M', 'B', 'AH0', 'L']",2
grump,"['G', 'R', 'AH1', 'M', 'P']",1
grunts,"['G', 'R', 'AH1', 'N', 'T', 'S']",1
grush,"['G', 'R', 'AH1', 'SH']",1
guck,"['G', 'AH1', 'K']",1
guff,"['G', 'AH1', 'F']",1
guineas,"['G', 'IH1', 'N', 'IY0', 'Z']",2
gulls,"['G', 'AH1', 'L', 'Z']",1
gully,"['G', 'AH1', 'L', 'IY0']",2
gulps,"['G', 'AH1', 'L', 'P', 'S']",1
gummed,"['G', 'AH1', 'M', 'D']",1
guru,"['G', 'UW1', 'R', 'UW2']",2
gusty,"['G', 'AH1', 'S', 'T', 'IY0']",2
gutter,"['G', 'AH1', 'T', 'ER0']",2
gutters,"['G', 'AH1', 'T', 'ER0', 'Z']",2
hacker,"['HH', 'AE1', 'K', 'ER0']",2
hacking,"['HH', 'AE1', 'K', 'IH0', 'NG']",2
hacks,"['HH', 'AE1', 'K', 'S']",1
hah,"['HH', 'AA1']",1
haiku,"['HH', 'AY1', 'K', 'UW0']",2
hailing,"['HH', 'EY1', 'L', 'IH0', 'NG']",2
hallow,"['HH', 'AE1', 'L', 'OW0']",2
hallway,"['HH', 'AO1', 'L', 'W', 'EY2']",2
hallways,"['HH', 'AO1', 'L', 'W', 'EY2', 'Z']",2
hamlin,"['HH', 'AE1', 'M', 'L', 'IH0', 'N']",2
hammers,"['HH', 'AE1', 'M', 'ER0', 'Z']",2
hammock,"['HH', 'AE1', 'M', 'AH0', 'K']",2
hams,"['HH', 'AE1', 'M', 'Z']",1
handfuls,"['HH', 'AE1', 'N', 'D', 'F', 'UH2', 'L', 'Z']",2
handle,"['HH', 'AE1', 'N', 'D', 'AH0', 'L']",2
handles,"['HH', 'AE1', 'N', 'D', 'AH0', 'L', 'Z']",2
handling,"['HH', 'AE1', 'N', 'D', 'L', 'IH0', 'NG']",2
hanged,"['HH', 'AE1', 'NG', 'D']",1
hangs,"['HH', 'AE1', 'NG', 'Z']",1
hanky,"['HH', 'AE1', 'NG', 'K', 'IY0']",2
hares,"['HH', 'EH1', 'R', 'Z']",1
harmful,"['HH', 'AA1', 'R', 'M', 'F', 'AH0', 'L']",2
harms,"['HH', 'AA1', 'R', 'M', 'Z']",1
harness,"['HH', 'AA1', 'R', 'N', 'AH0', 'S']",2
harp,"['HH', 'AA1', 'R', 'P']",1
harps,"['HH', 'AA1', 'R', 'P', 'S']",1
harvest,"['HH', 'AA1', 'R', 'V', 'AH0', 'S', 'T']",2
harvey,"['HH', 'AA1', 'R', 'V', 'IY0']",2
hash,"['HH', 'AE1', 'SH']",1
hastings,"['HH', 'EY1', 'S', 'T', 'IH0', 'NG', 'Z']",2
hatched,"['HH', 'AE1', 'CH', 'T']",1
hateful,"['HH', 'EY1', 'T', 'F', 'AH0', 'L']",2
hauled,"['HH', 'AO1', 'L', 'D']",1
hauling,"['HH', 'AO1', 'L', 'IH0', 'NG']",2
haunting,"['HH', 'AO1', 'N', 'T', 'IH0', 'NG']",2
haven,"['HH', 'EY1', 'V', 'AH0', 'N']",2
haves,"['HH', 'AE1', 'V', 'Z']",1
hawthorn,"['HH', 'AO1', 'TH', 'AO2', 'R', 'N']",2
haystack,"['HH', 'EY1', 'S', 'T', 'AE2', 'K']",2
hazy,"['HH', 'EY1', 'Z', 'IY0']",2
headache,"['HH', 'EH1', 'D', 'EY2', 'K']",2
heading,"['HH', 'EH1', 'D', 'IH0', 'NG']",2
heal,"['HH', 'IY1', 'L']",1
healing,"['HH', 'IY1', 'L', 'IH0', 'NG']",2
heaved,"['HH', 'IY1', 'V', 'D']",1
heavier,"['HH', 'EH1', 'V', 'IY0', 'ER0']",3
heck,"['HH', 'EH1', 'K']",1
heed,"['HH', 'IY1', 'D']",1
heel,"['HH', 'IY1', 'L']",1
heights,"['HH', 'AY1', 'T', 'S']",1
heir,"['EH1', 'R']",1
helens,"['HH', 'EH1', 'L', 'AH0', 'N', 'Z']",2
helpers,"['HH', 'EH1', 'L', 'P', 'ER0', 'Z']",2
helter,"['HH', 'EH1', 'L', 'T', 'ER0']",2
hem,"['HH', 'EH1', 'M']",1
hemp,"['HH', 'EH1', 'M', 'P']",1
herb,"['ER1', 'B']",1
herds,"['HH', 'ER1', 'D', 'Z']",1
heritage,"['HH', 'EH1', 'R', 'AH0', 'T', 'AH0', 'JH']",3
heroes,"['HH', 'IH1', 'R', 'OW0', 'Z']",2
herrings,"['HH', 'EH1', 'R', 'IH0', 'NG', 'Z']",2
hers,"['HH', 'ER0', 'Z']",1
highness,"['HH', 'AY1', 'N', 'AH0', 'S']",2
hiked,"['HH', 'AY1', 'K', 'T']",1
hint,"['HH', 'IH1', 'N', 'T']",1
hiram,"['HH', 'AY1', 'R', 'AH0', 'M']",2
hire,"['HH', 'AY1', 'ER0']",2
hired,"['HH', 'AY1', 'ER0', 'D']",2
hisself,"['HH', 'IH2', 'S', 'EH1', 'L', 'F']",2
hitched,"['HH', 'IH1', 'CH', 'T']",1
hither,"['HH', 'IH1', 'DH', 'ER0']",2
hits,"['HH', 'IH1', 'T', 'S']",1
hive,"['HH', 'AY1', 'V']",1
hobbies,"['HH', 'AA1', 'B', 'IY0', 'Z']",2
hockey,"['HH', 'AA1', 'K', 'IY0']",2
hogging,"['HH', 'AO1', 'G', 'IH0', 'NG']",2
holds,"['HH', 'OW1', 'L', 'D', 'Z']",1
holed,"['HH', 'OW1', 'L', 'D']",1
